["Q1", "IN", "In", 0.018582940684310184]
["Q1", "DT", "an", 0.03824290101837383]
["Q1", "NNP", "Oct.", 0.004293801926328947]
["Q1", "CD", "19", 0.0032196841320409407]
["Q1", "NN", "review", 0.0001912185172369835]
["Q1", "IN", "of", 0.23008498833061783]
["Q1", "``", "``", 0.9823709300233855]
["Q1", "DT", "The", 0.08677730481168167]
["Q1", "NN", "_RARE_", 0.06715412212489301]
["Q1", "''", "''", 0.9804287045666356]
["Q1", "IN", "at", 0.041415297899511205]
["Q1", "NNP", "Chicago", 0.0016322329240497022]
["Q1", "POS", "'s", 0.9271660760112428]
["Q1", "NNP", "Goodman", 8.822880670538931e-05]
["Q1", "NNP", "_RARE_", 0.14926843614440113]
["Q1", "-LRB-", "-LRB-", 0.8598306679209784]
["Q1", "VBN", "_RARE_", 0.08297095146982084]
["Q1", "NNS", "_RARE_", 0.08139400254718074]
["Q1", "VBP", "Take", 9.141603437242893e-05]
["Q1", "DT", "the", 0.5203270650358317]
["Q1", "IN", "in", 0.15421198643709544]
["Q1", "NNP", "City", 0.0016028233218145724]
["Q1", ",", ",", 0.9999075614716214]
["Q1", "CC", "&", 0.03499194558797208]
["Q1", "NNS", "Arts", 2.315618849137432e-05]
["Q1", "-RRB-", "-RRB-", 0.8607476635514019]
["Q1", "NN", "role", 0.0010926772413541914]
["Q1", "NP+NNP", "_RARE_", 0.1383757406761938]
["Q1", "VBN", "played", 0.0011596219632399839]
["Q1", "IN", "by", 0.0467325729886829]
["Q1", "VBD", "was", 0.1401261853488987]
["Q1", "ADVP+RB", "mistakenly", 0.00045021385157950026]
["Q1", "VBN", "attributed", 0.000927697570591987]
["Q1", "TO", "to", 0.9928291423654269]
["Q1", ".", ".", 0.9956354796828817]
["Q1", "NNP", "Ms.", 0.002940960223512977]
["Q1", "VBZ", "plays", 0.0008862301982940069]
["Q1", "NNP", "Motor", 0.0012940224983457099]
["Q1", "NNPS", "_RARE_", 0.1924726060028585]
["Q1", "NNP", "Inc.", 0.01327843540916109]
["Q1", "VBD", "said", 0.1413351467754732]
["Q1", "NP+PRP", "it", 0.2642646577137242]
["Q1", "VBZ", "expects", 0.013625789298770355]
["Q1", "PRP$", "its", 0.44008031120592295]
["Q1", "NNP", "U.S.", 0.021645467245055512]
["Q1", "NNS", "sales", 0.01463471112654857]
["Q1", "VB", "remain", 0.004028456329819148]
["Q1", "ADJP+JJ", "steady", 0.0015037593984962407]
["Q1", "IN", "about", 0.015797701351886916]
["Q1", "CD", "1,200", 0.00016945705958110215]
["Q1", "NNS", "cars", 0.0024313997915943034]
["Q1", "NP+CD", "1990", 0.030878859857482184]
["Q1", "NN", "luxury", 0.000382437034473967]
["Q1", "NN", "auto", 0.0014022691264045455]
["Q1", "NN", "maker", 0.0024129955746571724]
["Q1", "JJ", "last", 0.018148786335031464]
["Q1", "NN", "year", 0.01924933073518967]
["Q1", "VBD", "sold", 0.004269145037591144]
["Q1", "CD", "_RARE_", 0.1658645699179828]
["Q1", "NNP", "Howard", 0.0002940960223512977]
["Q1", "NP+NN", "president", 0.01904528363576917]
["Q1", "CC", "and", 0.6783157329514945]
["Q1", "JJ", "chief", 0.004757267006293078]
["Q1", "NN", "executive", 0.0026406366666059623]
["Q1", "NN", "officer", 0.002558685873504398]
["Q1", "NP+PRP", "he", 0.1690795938421225]
["Q1", "VBZ", "anticipates", 0.0006646726487205051]
["Q1", "NP+NN", "growth", 0.003269576589831617]
["Q1", "IN", "for", 0.08174071953850896]
["Q1", "NNP", "Britain", 0.0009411072715241526]
["Q1", "NNP", "Europe", 0.0009116976692890229]
["Q1", "JJ", "Far", 1.8729397662571173e-05]
["Q1", "JJ", "Eastern", 0.00020602337428828288]
["Q1", "NNS", "markets", 0.007155262243834665]
["Q1", "NNP", "INDUSTRIES", 4.4114403352694654e-05]
["Q1", "VBD", "increased", 0.004684725527976123]
["Q1", "NN", "quarterly", 6.373950574566116e-05]
["Q1", "CD", "10", 0.01596285501253982]
["Q1", "NNS", "cents", 0.01764501563042723]
["Q1", "IN", "from", 0.047249988991148885]
["Q1", "CD", "seven", 0.0034569240154544837]
["Q1", "DT", "a", 0.23919661619699337]
["Q1", "NN", "share", 0.012401886689370072]
["Q1", "JJ", "new", 0.0248164519029068]
["Q1", "NN", "rate", 0.003888109850485331]
["Q1", "MD", "will", 0.3123491993858302]
["Q1", "VB", "be", 0.1466100968543756]
